Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,100.00,0.00
ideal,Bandwidth,100.0,100.00,0.00
ideal,PacketLoss,100.0,100.00,0.00
ideal,TransferTime,100.0,100.00,0.00
ideal,Overall,100.0,100.00,0.00
congestion,Latency,100.0,130.76,-30.76
congestion,Bandwidth,100.0,209.59,109.59
congestion,PacketLoss,100.0,248.47,-148.47
congestion,TransferTime,100.0,127.54,-27.54
congestion,Overall,100.0,84.07,-15.93
international,Latency,100.0,100.00,0.00
international,Bandwidth,100.0,100.00,0.00
international,PacketLoss,100.0,100.00,0.00
international,TransferTime,100.0,100.00,0.00
international,Overall,100.0,100.00,0.00
wireless_interference,Latency,100.0,194.42,-94.42
wireless_interference,Bandwidth,100.0,101.47,1.47
wireless_interference,PacketLoss,100.0,165.62,-65.62
wireless_interference,TransferTime,100.0,170.86,-70.86
wireless_interference,Overall,100.0,48.95,-51.05
mobile_handover,Latency,100.0,178.24,-78.24
mobile_handover,Bandwidth,100.0,112.69,12.69
mobile_handover,PacketLoss,100.0,106.30,-6.30
mobile_handover,TransferTime,100.0,134.84,-34.84
mobile_handover,Overall,100.0,75.09,-24.91
asymmetric,Latency,100.0,183.60,-83.60
asymmetric,Bandwidth,100.0,90.16,-9.84
asymmetric,PacketLoss,100.0,306.91,-206.91
asymmetric,TransferTime,100.0,190.49,-90.49
asymmetric,Overall,100.0,16.45,-83.55
satellite,Latency,100.0,101.83,-1.83
satellite,Bandwidth,100.0,106.90,6.90
satellite,PacketLoss,100.0,114.96,-14.96
satellite,TransferTime,100.0,143.82,-43.82
satellite,Overall,100.0,89.42,-10.58
extreme,Latency,100.0,100.00,0.00
extreme,Bandwidth,100.0,100.00,0.00
extreme,PacketLoss,100.0,100.00,0.00
extreme,TransferTime,100.0,100.00,0.00
extreme,Overall,100.0,100.00,0.00
