Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,100.00,0.00
ideal,Bandwidth,100.0,100.00,0.00
ideal,PacketLoss,100.0,100.00,0.00
ideal,TransferTime,100.0,100.00,0.00
ideal,Overall,100.0,100.00,0.00
congestion,Latency,100.0,130.76,-30.76
congestion,Bandwidth,100.0,209.59,109.59
congestion,PacketLoss,100.0,248.47,-148.47
congestion,TransferTime,100.0,127.54,-27.54
congestion,Overall,100.0,84.07,-15.93
international,Latency,100.0,100.00,0.00
international,Bandwidth,100.0,100.00,0.00
international,PacketLoss,100.0,100.00,0.00
international,TransferTime,100.0,100.00,0.00
international,Overall,100.0,100.00,0.00
wireless_interference,Latency,100.0,100.00,0.00
wireless_interference,Bandwidth,100.0,100.00,0.00
wireless_interference,PacketLoss,100.0,100.00,0.00
wireless_interference,TransferTime,100.0,100.00,0.00
wireless_interference,Overall,100.0,100.00,0.00
mobile_handover,Latency,100.0,100.00,0.00
mobile_handover,Bandwidth,100.0,100.00,0.00
mobile_handover,PacketLoss,100.0,100.00,0.00
mobile_handover,TransferTime,100.0,100.00,0.00
mobile_handover,Overall,100.0,100.00,0.00
asymmetric,Latency,100.0,100.00,0.00
asymmetric,Bandwidth,100.0,100.00,0.00
asymmetric,PacketLoss,100.0,100.00,0.00
asymmetric,TransferTime,100.0,100.00,0.00
asymmetric,Overall,100.0,100.00,0.00
satellite,Latency,100.0,100.00,0.00
satellite,Bandwidth,100.0,100.00,0.00
satellite,PacketLoss,100.0,100.00,0.00
satellite,TransferTime,100.0,100.00,0.00
satellite,Overall,100.0,100.00,0.00
extreme,Latency,100.0,100.00,0.00
extreme,Bandwidth,100.0,100.00,0.00
extreme,PacketLoss,100.0,100.00,0.00
extreme,TransferTime,100.0,100.00,0.00
extreme,Overall,100.0,100.00,0.00
