Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,100.00,0.00
ideal,Bandwidth,100.0,100.00,0.00
ideal,PacketLoss,100.0,100.00,0.00
ideal,TransferTime,100.0,100.00,0.00
ideal,Overall,100.0,100.00,0.00
congestion,Latency,100.0,100.00,0.00
congestion,Bandwidth,100.0,100.00,0.00
congestion,PacketLoss,100.0,100.00,0.00
congestion,TransferTime,100.0,100.00,0.00
congestion,Overall,100.0,100.00,0.00
international,Latency,100.0,100.00,0.00
international,Bandwidth,100.0,100.00,0.00
international,PacketLoss,100.0,100.00,0.00
international,TransferTime,100.0,100.00,0.00
international,Overall,100.0,100.00,0.00
wireless_interference,Latency,100.0,100.00,0.00
wireless_interference,Bandwidth,100.0,100.00,0.00
wireless_interference,PacketLoss,100.0,100.00,0.00
wireless_interference,TransferTime,100.0,100.00,0.00
wireless_interference,Overall,100.0,100.00,0.00
mobile_handover,Latency,100.0,100.00,0.00
mobile_handover,Bandwidth,100.0,100.00,0.00
mobile_handover,PacketLoss,100.0,100.00,0.00
mobile_handover,TransferTime,100.0,100.00,0.00
mobile_handover,Overall,100.0,100.00,0.00
asymmetric,Latency,100.0,379.93,-279.93
asymmetric,Bandwidth,100.0,60.04,-39.96
asymmetric,PacketLoss,100.0,486.64,-386.64
asymmetric,TransferTime,100.0,494.92,-394.92
asymmetric,Overall,100.0,-137.37,-237.37
satellite,Latency,100.0,100.00,0.00
satellite,Bandwidth,100.0,100.00,0.00
satellite,PacketLoss,100.0,100.00,0.00
satellite,TransferTime,100.0,100.00,0.00
satellite,Overall,100.0,100.00,0.00
extreme,Latency,100.0,100.00,0.00
extreme,Bandwidth,100.0,100.00,0.00
extreme,PacketLoss,100.0,100.00,0.00
extreme,TransferTime,100.0,100.00,0.00
extreme,Overall,100.0,100.00,0.00
