Scenario,Metric,Baseline,WithAdaptation,Improvement
ideal,Latency,100.0,101.46,-1.46
ideal,Bandwidth,100.0,90.13,-9.87
ideal,PacketLoss,100.0,149.08,-49.08
ideal,TransferTime,100.0,165.81,-65.81
ideal,Overall,100.0,73.96,-26.04
congestion,Latency,100.0,92.02,7.98
congestion,Bandwidth,100.0,100.51,0.51
congestion,PacketLoss,100.0,135.18,-35.18
congestion,TransferTime,100.0,154.60,-54.60
congestion,Overall,100.0,84.07,-15.93
international,Latency,100.0,86.66,13.34
international,Bandwidth,100.0,92.40,-7.60
international,PacketLoss,100.0,128.39,-28.39
international,TransferTime,100.0,175.43,-75.43
international,Overall,100.0,80.62,-19.38
wireless_interference,Latency,100.0,107.21,-7.21
wireless_interference,Bandwidth,100.0,93.90,-6.10
wireless_interference,PacketLoss,100.0,134.34,-34.34
wireless_interference,TransferTime,100.0,157.34,-57.34
wireless_interference,Overall,100.0,78.12,-21.88
mobile_handover,Latency,100.0,84.79,15.21
mobile_handover,Bandwidth,100.0,91.82,-8.18
mobile_handover,PacketLoss,100.0,110.63,-10.63
mobile_handover,TransferTime,100.0,165.17,-65.17
mobile_handover,Overall,100.0,86.63,-13.37
asymmetric,Latency,100.0,379.93,-279.93
asymmetric,Bandwidth,100.0,60.04,-39.96
asymmetric,PacketLoss,100.0,486.64,-386.64
asymmetric,TransferTime,100.0,494.92,-394.92
asymmetric,Overall,100.0,-137.37,-237.37
satellite,Latency,100.0,69.04,30.96
satellite,Bandwidth,100.0,74.19,-25.81
satellite,PacketLoss,100.0,305.99,-205.99
satellite,TransferTime,100.0,350.72,-250.72
satellite,Overall,100.0,9.85,-90.15
extreme,Latency,100.0,100.16,-0.16
extreme,Bandwidth,100.0,99.93,-0.07
extreme,PacketLoss,100.0,100.00,-0.00
extreme,TransferTime,100.0,100.15,-0.15
extreme,Overall,100.0,99.91,-0.09
